"space_id","type","subtype","location","url","description","google_maps_id","closed_for_construction","name","firestoreId","longitude","latitude","amenities","archived","equipment","details"
"pops-50-lexington-avenue","pops","","Northeast Corner of Lexington Avenue and E. 24th Street","https://apops.mas.org/pops/M050072","A vibrant public space located in the heart of the city, providing a bustling area for social gatherings and community events near iconic landmarks.","","","50 Lexington Avenue","0RXjrvm4ivRgbkV0VaCM","-73.98439","40.740396","","","",""
"plaza-osborn-street-plaza","plaza","","Osborn Street between Belmont Ave & null","","A lively pedestrian plaza nestled in a bustling neighborhood in New York City, featuring a variety of food vendors and a popular street market.","","","Osborn Street Plaza","0Stp46cq2VrmPlmNcEQM","-73.908515","40.668527","","","",""
"pops-353-east-83-street","pops","","","https://apops.mas.org/pops/M080056","A public space in the Upper East Side neighborhood of New York City on East 83rd Street, providing a tranquil garden setting for relaxation and enjoyment by residents and visitors alike.","","","353 East 83 Street","0UlnS6Lszft8JpOqZjQA","-73.9509","40.775349","","","",""
"park-mt-carmel-triangle","park","","","http://www.nycgovparks.org/parks/B226/","A small, calming green space in Brooklyn featuring a prominent statue of Vittorio Emanuele II, offering a tranquil respite amidst the bustling neighborhood of Williamsburg.","","","Mt. Carmel Triangle","0VIBGwwoz7JgCvnecmKz","-73.951668","40.715843","[]","","[]","[]"
"park-last-chance-pond-park","park","","","http://www.nycgovparks.org/parks/R148/","A peaceful park nestled in a quiet corner of New York City, providing a serene oasis for visitors next to Last Chance Pond.","","","Last Chance Pond Park","0Vl9MWtzPejdFRw1uSlp","-74.098624","40.585365","","","",""
"park-joseph-manna-park","park","","","http://www.nycgovparks.org/parks/R127/","A small yet serene public space located in Staten Island, this park offers outdoor breathers with its neat walkways, beautiful trees, and children's playground, a testament to the tight-knit community vibe of its neighborhood.","","","Joseph Manna Park","0aEgG9M9Z3MmVpmONAmL","-74.176936","40.625816","","","",""
"park-levy-playground","park","","133 Jewett Avenue","http://www.nycgovparks.org/parks/R033/","A community playground located in a bustling urban area, providing a shaded retreat for families and locals amidst iconic skyscrapers.","","","Levy Playground","0e9YxSmUHdIlr5jRfbY6","-74.128939","40.633914","","","",""
"stp-144-80-barclay-avenue","stp","","144-80 Barclay Avenue","","The schoolyard at J.H.S. 189 Daniel Carter Beard which is open to the public outside of school hours.","","","J.H.S. 189 Daniel Carter Beard","0fNxolF99qiZOoToofOs","-73.818722","40.759745","","","",""
"park-childrens-magical-garden","park","","129 Stanton Street","","A charming community garden in the Lower East Side of NYC offering a colorful and enchanting space for children to explore and learn about nature.","","","Children's Magical Garden","0fk3xI6MGFraTYnvxFBp","-73.986498","40.720725","","","",""
"stp-109-59-inwood-street","stp","","109-59 Inwood Street","","The schoolyard at P.S. 160 Walter Francis Bishop which is open to the public outside of school hours.","","","P.S. 160 Walter Francis Bishop","0k93bbUrBZUJQZ6CUYbu","-73.799458","40.688518","","","",""
"park-givan-square","park","","2910 Eastchester Road","http://www.nycgovparks.org/parks/X187/","A lively public space located at 2910 Eastchester Road, featuring outdoor art installations, food vendors, and local musicians, serving as a vibrant hub for community and cultural activities.","","","Givan Square","0mxpUXTsEbsBSHigrf9T","-73.842645","40.868327","","","",""
"park-howard-pool","park","","1560 East New York Avenue","http://www.nycgovparks.org/parks/B260A/","A popular public space located in Brooklyn, this urban oasis offers a large outdoor pool for residents and visitors to enjoy during the summer months.","","","Howard Pool","0nrSoTSNavwEvEbAAEuG","-73.908952","40.672757","","","",""
"misc-north-channel-bridge","misc","National Park Service","Gateway National Recreation Area","https://www.nps.gov/places/000/north-channel-bridge.htm","A pedestrian thoroughfare connecting two districts in Lower Manhattan, offering stunning views of the Hudson River and the city skyline.","","","North Channel Bridge","0oZEVojpXpvgL9Lxl1wD","-73.834756","40.642378","","","",""
"park-brust-park","park","","","http://www.nycgovparks.org/parks/X055/","A tranquil park located along the East River in the upper east side neighborhood of New York City, providing a serene escape with picturesque views and a peaceful atmosphere.","","","Brust Park","0oi2Ysou4OjL5a5JQ26W","-73.903871","40.889896","","","",""
"park-brinkerhoff-mall","park","","","http://www.nycgovparks.org/parks/Q447/","A small triangular public space in the Jamaica neighborhood of Queens. Established in 1977, the park serves as a modest green area for local residents. 
","","","Brinkerhoff Mall","0pN1QLmFjah7qcb6bZqD","-73.782176","40.695752","","","",""
"park-frost-playground","park","","60 Kingsland Avenue","http://www.nycgovparks.org/parks/B257/","A vibrant urban park nestled in a bustling neighborhood near a popular city park, amidst residential architecture.","","","Frost Playground","0pP8EuTQLH4gmZLknQlR","-73.939011","40.718727","","","",""
"stp-6006-23-avenue","stp","","6006 23 Avenue","","The schoolyard at P.S. 226 Alfred De B. Mason which is open to the public outside of school hours.","","","P.S. 226 Alfred De B. Mason","0qmXJGknwMAMsf5yucQh","-73.977325","40.615567","","","",""
"park-albert-j-parham-playground","park","","255 Adelphi Street","http://www.nycgovparks.org/parks/B253/","A lively playground nestled in a vibrant community, where children play, families picnic, and locals gather for outdoor recreation.","","","Albert J. Parham Playground","0rowOemDjPOsmBD0zhmV","-73.970773","40.690373","","","",""
"park-evergreen-playground","park","","84 Schaefer Street","http://www.nycgovparks.org/parks/B332/","A community park located in Bushwick, Brooklyn, offering playground equipment, sports courts, and shaded seating areas for families to enjoy.","","","Evergreen Playground","0tLCYFm0SntFVFPUvMnK","-73.910759","40.686108","","","",""
"park-oasis-garden","park","","505 West 52 Street","","A peaceful sanctuary nestled in the heart of Midtown Manhattan, providing a serene escape for contemplation and relaxation with its lush greenery and calm atmosphere.","","","Oasis Garden","0wYlbVYvn1xPlF07Db0c","-73.991225","40.76631","","","",""
"misc-belden-point-park","misc","","South end of City Island Ave","https://www.bxtimes.com/belden-point-pocket-park-dedicated-on-city-island/","Belden Point Park, located at the southern tip of City Island in the Bronx, offers visitors a scenic waterfront area with decorative pavements, benches, and landscaped sections, providing picturesque views of Long Island Sound. Completed in 2015, this pocket park enhances public access to the waterfront and serves as a tranquil destination for both residents and tourists.","","","Belden Point Park","101uqOEICOutlEBkRYSV","-73.782905","40.837571","","","",""
"park-oko-farms-aquaponics-education-garden","park","","104 Moore Street","","A sustainable urban oasis in Brooklyn providing education on aquaponics practices for city residents.","","","Oko Farms Aquaponics Education Garden","12912ctH52T5cTgm7gj2","-73.941315","40.703669","","","",""
"park-north-shore-esplanade","park","","","http://www.nycgovparks.org/parks/R083/","A picturesque waterfront promenade in Staten Island offering panoramic views of the Manhattan skyline, complete with a pedestrian walkway, bike path, and periodic sculptures to decorate the area. Visitors can enjoy outdoor concerts at the nearby picnic area, providing a perfect blend of urban convenience and natural beauty.","","","North Shore Esplanade","16RYTwqKRxOYCdDkgH84","-74.088899","40.647118","","","",""
"pops-park-avenue-plaza","pops","","55 East 52 Street","https://apops.mas.org/pops/M050033","A serene oasis in the heart of Midtown Manhattan, located adjacent to Grand Central Terminal, providing a pristine landscaped plaza at 55 East 52 Street.","","","Park Avenue Plaza","19BDcaFXXn7LKEdZZeR5","-73.973671","40.759124","[""tables"",""fountain"",""food_vendor""]","","",""
"park-spuyten-duyvil-shorefront-park","park","","","http://www.nycgovparks.org/parks/X090/","A waterfront park in NYC with stunning views of the Hudson River and the surrounding area.","","","Spuyten Duyvil Shorefront Park","19cSI4tT7HZEI0RK1VF0","-73.920799","40.878475","","","",""
"park-millbrook-playground","park","","625 East 135 Street","http://www.nycgovparks.org/parks/X182/","An engaging neighborhood park in Bronx, at 625 East 135 Street, that offers a vibrant children's playground, basketball courts, and a large, open turf area for a plethora of outdoor activities.","","","Millbrook Playground","1BcfZevJV2rXescxaBTm","-73.916648","40.804354","","","",""
"plaza-25th-street-plaza","plaza","","25th St between 3rd Ave & Lexington Ave","","A bustling public space located in the Flatiron District of New York City, featuring seating areas, greenery, and a vibrant atmosphere for visitors to enjoy.","","","25th Street Plaza","1CT7iMiIKj40W3yXaUCE","-73.983025","40.740458","","","",""
"pops-300-mercer-street","pops","","","https://apops.mas.org/pops/M020002","An urban oasis located in Greenwich Village, New York City, offering a vibrant outdoor plaza experience with seating and greenery, popular among students and locals in the area.","","","300 Mercer Street","1EGjGNCCnmpJDyA6vaGr","-73.993444","40.730071","","","",""
"stp-1025-morrison-ave","stp","","1025 Morrison Ave.","","The schoolyard at J.H.S. 123 James M. Kieran which is open to the public outside of school hours.","","","J.H.S. 123 James M. Kieran","1EHZEouafoCvWTWdEOaU","-73.874287","40.826271","","","",""
"park-north-rochdale-playground","park","","126-10 Baisley Boulevard","http://www.nycgovparks.org/parks/Q426/","A tranquil park with playground equipment, seating areas, and green spaces nestled within the Rochdale Village community in Queens, NYC.","","","North Rochdale Playground","1H7bmOOj0M2Vxq6HGqr2","-73.775037","40.679968","","","",""
"park-jefferson-market-garden","park","","421 6 Avenue","http://www.nycgovparks.org/parks/M278/","A charming community garden located in Greenwich Village, adjacent to the historic Jefferson Market Library.","","","Jefferson Market Garden","1JLevbbEu6gxooYxnGs4","-73.999514","40.734443","","","",""
"park-corona-golf-playground","park","","109-02 46 Avenue","http://www.nycgovparks.org/parks/Q450/","A public park in the Corona neighborhood of Queens, New York City, offering a playground setting for golf enthusiasts and visitors alike.","","","Corona Golf Playground","1NeDAzsxMrdP8kbmHVVP","-73.854611","40.747582","","","",""
"park-boerum-park","park","","364 Warren Street","http://www.nycgovparks.org/parks/B361/","A community park located in a bustling Brooklyn neighborhood, offering amenities such as a playground, basketball courts, and ample picnic areas.","","","Boerum Park","1OazF7locxcMEo2YEsGX","-73.990324","40.684652","","","",""
"park-van-dyke-playground","park","","603 Mother Gaston Blvd","http://www.nycgovparks.org/parks/B249/","A vibrant playground located in Brooklyn, close to a historic library and bustling residential streets, offering a variety of play equipment for children.","","","Van Dyke Playground","1QaaBy1J0BzT9Alij9yZ","-73.90401","40.664431","","","",""
"park-tom-mcdonald-triangle","park","","8302 Ft Hamilton Parkway","http://www.nycgovparks.org/parks/B338/","A triangular public park located in Brooklyn, providing a popular gathering spot for the local community.","","","Tom McDonald Triangle","1SHGBEnB1bcVR6CVjoEK","-74.022594","40.621916","","","",""
"park-conch-playground","park","","420 Beach Channel Drive","http://www.nycgovparks.org/parks/Q394/","A vibrant and engaging playground located in a bustling urban neighborhood in New York City, featuring conch shell-themed play equipment and artistic murals reflecting the area's cultural history.","","","Conch Playground","1WJJU5H0nN6dqUOFZ5nQ","-73.780675","40.595998","","","",""
"park-gutenberg-playground","park","","409 West 49 Street","http://www.nycgovparks.org/parks/M221/","A playground located in Midtown Manhattan, offering recreational opportunities for children and families in a vibrant urban setting.","","","Gutenberg Playground","1XSXzzUcpce3kTA9fTcC","-73.990165","40.763464","","","",""
"park-duke-park","park","","517 New Jersey Avenue","http://www.nycgovparks.org/parks/B366/","A serene park nestled in a quaint neighborhood, offering a peaceful retreat for visitors to enjoy nature and relaxation.","","","Duke Park","1YvfHeLum6xc9nLWy7fA","-73.893248","40.666821","","","",""
"park-greencroft-playground","park","","125 Ainsworth Avenue","http://www.nycgovparks.org/parks/R089/","A neighborhood gem located at 125 Ainsworth Avenue, Staten Island, featuring open playing fields, modern play equipment, and charming picnic areas perfect for family gatherings. This community space provides a dedicated spot for both sports and relaxation.","","","Greencroft Playground","1ZMo6G4iOln00TP4Jw6u","-74.136434","40.551779","","","",""
"park-bar-and-grill-park","park","","","http://www.nycgovparks.org/parks/B223IB/","A vibrant park near the High Line in NYC, offering a diverse selection of food and drink options in a bustling outdoor setting frequented by locals and tourists.","","","Bar and Grill Park","1Zofo89feenLqaf0P1Vu","-73.988167","40.701266","","","",""
"park-dry-dock-playground","park","","149 East 10 Street","http://www.nycgovparks.org/parks/M270/","A vibrant playground situated in a lively neighborhood, providing families and children with a range of play equipment and open green spaces for picnics and playtime.","","","Dry Dock Playground","1aQML6jfnnCyidSUhuNR","-73.975455","40.725461","","","",""
"park-newtown-barge-playground","park","","5 Commercial Street","http://www.nycgovparks.org/parks/B135/","A waterfront playground located near the East River in Greenpoint, Brooklyn, providing scenic views of Manhattan's skyline and a peaceful retreat for families and locals.","","","Newtown Barge Playground","1aSRn8ekHATvTSbgzSYN","-73.960967","40.73592","","","",""
"park-father-reilly-square","park","","","http://www.nycgovparks.org/parks/Q159/","A serene community space located in East Harlem, adorned with colorful murals and comfortable outdoor seating, providing a peaceful retreat for local residents amidst the city's vibrancy.","","","Father Reilly Square","1cwTjrSIyA15BFeU2ng3","-73.736133","40.722722","","","",""
"park-marcy-green-south","park","","153 Marcy Avenue","http://www.nycgovparks.org/parks/B223QA/","A community park in Brooklyn offering a green space for relaxation and outdoor activities, near the iconic Williamsburg Bridge.","","","Marcy Green South","1fJhg9olxHfGEbdwjvME","-73.957337","40.708775","","","",""
"park-harris-garden","park","","","http://www.nycgovparks.org/parks/M322/","A peaceful garden oasis nestled in the heart of a bustling city, offering visitors a tranquil environment to explore diverse plant life and wildlife.","","","Harris Garden","1ifdcS6WLk9BbEMWHGp6","-73.942118","40.829715","","","",""
"misc-pier-97","misc","Hudson River Park","Hudson River Park","https://hudsonriverpark.org/locations/pier-97/","A recreational waterfront space located on the Hudson River in Manhattan, providing picturesque views of the city skyline and a variety of activities for visitors.","","","Pier 97","1kmQ0BBA7f5Pkw3a0EmW","-73.995937","40.772239","[""playground"",""drinking_fountain"",""seating"",""bike_rack""]","","","[""accessible"",""trees"",""grass"",""scenic_views""]"
"park-sol-lain-plgd","park","","271 Henry Street","http://www.nycgovparks.org/parks/M235/","A serene park in the Lower East Side of New York City, offering colorful murals, a playground, and plenty of seating for outdoor enjoyment.","","","Sol Lain Plgd","1lm2lDfEKcSfaQCONpqA","-73.983906","40.714245","","","",""
"misc-main-street","misc","","","https://brooklynbridgepark.org/places-to-see/main-street/","The Main Street area of Brooklyn Bridge Park offers a vibrant waterfront space with walking paths, recreational areas, and scenic views of the East River, Brooklyn Bridge, and Manhattan skyline.","","","Main Street","1lsERQZ4YSBOJuKsOEVh","-73.990645","40.704171","","","",""
"pops-rego-park-mall","pops","","Null Junction Boulevard","https://apops.mas.org/pops/Q060001","A busy indoor shopping center located in Queens, offering a diverse range of stores and dining options for visitors to enjoy.","","","Rego Park Mall","1ltQfLdcaycT5nHladCg","-73.864192","40.733477","","","",""
"park-wakefield-playground","park","","4522 Carpenter Avenue","http://www.nycgovparks.org/parks/X188/","A lively playground located on Carpenter Avenue in the Bronx, offering modern equipment for children and a gathering space for families, adjacent to a scenic park.","","","Wakefield Playground","1mIcIOzl7EkbjN0t7rO3","-73.854505","40.90191","","","",""
"park-a-philip-randolph-square","park","","","http://www.nycgovparks.org/parks/M021/","A historic public park in the heart of Harlem near the iconic Apollo Theater, paying tribute to a prominent civil rights figure.","","","A Philip Randolph Square","1plaYDqFG3oK8Jzs7Rff","-73.952445","40.803876","","","",""
"park-clearview-park-golf-course","park","","202-12 Willets Point Blvd","http://www.nycgovparks.org/parks/Q010/","A public golf course located in Bayside, Queens, providing an 18-hole course with picturesque views for golfers.","","","Clearview Park Golf Course","1sYlyl00cBHnFeGbsXQD","-73.788861","40.782231","","","",""
"stp-1171-65th-street","stp","","1171 65th Street","","The schoolyard at The Christa McAuliffe School\I.S. 187 which is open to the public outside of school hours.","","","The Christa McAuliffe School\I.S. 187","1vfxxuOH3hEIpXi6Un82","-74.003807","40.628037","","","",""
"park-peaceful-valley-garden","park","","1781 Madison Avenue","http://www.nycgovparks.org/parks/M367/","A serene community garden tucked away in the heart of East Harlem, providing a tranquil sanctuary for city residents to unwind and enjoy nature.","","","Peaceful Valley Garden","1xZz40phsVJ2L0ryNpI2","-73.944161","40.800456","","","",""
"pops-channel-club","pops","","455 East 86 Street","https://apops.mas.org/pops/M080078","A waterfront public space on the Upper East Side in New York City with views of the East River and surrounding area.","","","Channel Club","1z7RA57u381hyCr1ihhd","-73.947177","40.776355","","","",""
"park-moore-homestead-playground","park","","82-02 Broadway","http://www.nycgovparks.org/parks/Q361/","A charming playground nestled near a botanical garden in a vibrant neighborhood, attracting families and children for recreational activities.","","","Moore Homestead Playground","22AaBqkSJDOMp7SJqK5T","-73.882397","40.742142","","","",""
"park-briarwood-playground","park","","85-05 144 Street","http://www.nycgovparks.org/parks/Q379/","A vibrant public park located in the heart of a bustling neighborhood in Queens, NYC, providing recreational activities for families and children amidst residential buildings.","","","Briarwood Playground","22TM6K9Lc6aKTcsjsmBy","-73.811013","40.710328","","","",""
"park-jacob-riis-triangle","park","","","http://www.nycgovparks.org/parks/Q142/","A small, peaceful public green space located in Queens, known for its distinctive triangular shape and the commemorative clock tower dedicated to the famed journalist and documentarian.","","","Jacob Riis Triangle","23RL4kBlDupbyWEjXRrZ","-73.834942","40.701968","","","",""
"park-thomas-jefferson-park","park","","2158 1 Avenue","http://www.nycgovparks.org/parks/M047/","A park located in East Harlem, providing sports fields, playgrounds, and a recreation center for recreational activities, serving as a central part of the community.","","","Thomas Jefferson Park","24WZS29hKNs5JxODf8cJ","-73.93559","40.793202","","","",""
"park-naples-playground","park","","1055 Targee Street","http://www.nycgovparks.org/parks/R073/","A small and charming public space in Staten Island located at 1055 Targee Street, presenting a playground with modern play structures, a supportive community atmosphere, spacious basketball courts, and plenty of shade from nearby trees.","","","Naples Playground","270QMrDwyWGRozwuUerM","-74.090014","40.602523","","","",""
"plaza-herald-square-plaza","plaza","","Broadway between 33rd Street & 35th Street","","A vibrant public plaza near a renowned department store in Midtown Manhattan, popular among both locals and tourists for its nearby shops and dining options.","","","Herald Square Plaza","27bpvvXdR8yv2aPjOdfr","-73.987903","40.749801","","","",""
"plaza-madisonworth-square-plazas","plaza","","Broadway between 23rd Street & 25th Street","","A vibrant plaza located in the bustling Financial District, providing a peaceful retreat with views of historic architecture and art-filled spaces.","","","Madison/Worth Square Plazas","28Du1MsfrjQnHzzywYCX","-73.98892","40.742635","","","",""
"stp-780-post-ave","stp","","780 Post Ave.","","The schoolyard at P.S. 019 The Curtis School which is open to the public outside of school hours.","","","P.S. 019 The Curtis School","2A1xHD4XZjmahAeK2Ccr","-74.126868","40.63027","","","",""
"plaza-douglaston-station-plaza","plaza","","235th Street between 41st Ave & null","","A charming pedestrian plaza situated in the vibrant neighborhood of Queens, lined with unique shops and eateries, providing a serene retreat for all who visit.","","","Douglaston Station Plaza","2Cd8QAWJQarB8YHNIstZ","-73.749084","40.768649","","","",""
"park-drumgoole-tot-lot","park","","","http://www.nycgovparks.org/parks/R100/","A small community playground located in Staten Island, providing a safe and enjoyable space for children and families, close to Lemon Creek Park.","","","Drumgoole Tot Lot","2E5YcZoTZZgnPyRQHuLi","-74.17989","40.549401","","","",""
"park-steinway-playground","park","","20-27 37 Street","http://www.nycgovparks.org/parks/Q395/","A vibrant and popular public space located in Astoria, Queens, offering a range of recreational activities for families and children.","","","Steinway Playground","2FOOBwOTslP5228Euf2r","-73.903486","40.776529","","","",""
"park-freeman-garden","park","","","http://www.nycgovparks.org/parks/X270/","A peaceful sanctuary in the heart of the Upper West Side, offering green surroundings, vibrant blooms, and cozy seating for a serene retreat from urban living.","","","Freeman Garden","2KPvlxaWniwBhA6C0DMk","-73.891107","40.829604","","","",""
"park-bed-stuy-farm","park","","406 Decatur Street","","A community garden nestled in Brooklyn's Bedford-Stuyvesant neighborhood, providing a peaceful retreat and opportunities for residents to cultivate fresh produce.","","","Bed-Stuy Farm","2L3SiLNGhP8tsbUYoeCs","-73.926783","40.681979","","","",""
"park-susan-smith-mc-kinney-steward-park","park","","114 Bridge Street","http://www.nycgovparks.org/parks/B223JB/","A small neighborhood park in Brooklyn offering playgrounds, seating, and green space, named in honor of New York’s first Black female doctor.","","","Susan Smith McKinney Steward Park","2LB5R9bHvm3L4Q92cRGD","-73.985197","40.700793","","","",""
"park-linnaeus-park","park","","","http://www.nycgovparks.org/parks/Q388/","A quiet, tree-lined neighborhood park featuring benches, walking paths, and green space for relaxation. It offers a peaceful retreat amid the residential surroundings.","","","Linnaeus Park","2M0zFJOAnnxU4nF5Fxa3","-73.750744","40.753806","","","",""
"wpaa-costco","wpaa","","33 Road and Vernon Boulevard","https://waterfrontaccess.planning.nyc.gov/profiles/4010001","A popular warehouse-style store situated near the East River in Queens, providing a wide range of products at wholesale prices for its members.","","","Costco","2NtpT2Lx7gAaeYEjuREf","-73.940283","40.767461","","","",""
"stp-724-east-5-street","stp","","724 East 5 Street","","The schoolyard at P.S. 015 Roberto Clemente which is open to the public outside of school hours.","","","P.S. 015 Roberto Clemente","2QJ6yFfV3zZWxWGjuITi","-73.978661","40.722151","","","",""
"park-detective-william-t-gunn-playground","park","","235-90 Hillside Avenue","http://www.nycgovparks.org/parks/Q358/","A playground nestled in the neighborhood of Hillside Avenue, providing recreational activities for families and children to enjoy.","","","Detective William T. Gunn Playground","2XnfnkUyioy2FEQI4T7G","-73.731779","40.731846","","","",""
"park-goodwin-gardens","park","","46-62 Goodwin Place","http://www.nycgovparks.org/parks/B428/","An urban oasis tucked away in a bustling city, this hidden gem offers a peaceful escape with lush greenery and a tranquil atmosphere.","","","Goodwin Gardens","2ZxNFIOMbQLbR5vorBcW","-73.923452","40.691133","","","",""
"plaza-westchester-square","plaza","","E Tremont Ave between Westchester Ave & E Tremont Ave","","At the heart of a lively Bronx neighborhood, this public plaza hosts community events and includes a central fountain encircled by seating and greenery.","","","Westchester Square","2ZzRmKOIbMkdFY5CB3jE","-73.841897","40.840461","","","",""
"park-adam-yauch-park","park","","46 Columbia Place","http://www.nycgovparks.org/parks/B223D/","A beloved public space located in Brooklyn's Boerum Hill neighborhood, this park was renamed in honor of a founding member of the Beastie Boys and features basketball courts, a playground, and various community events.","","","Adam Yauch Park","2aLd1xzuQDS7GEJVGf1N","-73.998722","40.691876","","","",""
"park-eastern-parkway","park","","","http://www.nycgovparks.org/parks/B029/","A historic parkway in Brooklyn connecting two major landmarks, lined with trees and historic buildings.","","","Eastern Parkway","2aiRKFmszHk9rrg20Q0R","-73.945838","40.669898","","","",""
"park-osborn-playground","park","","1461 Linden Boulevard","http://www.nycgovparks.org/parks/B343/","A public park in the Brownsville neighborhood of Brooklyn, featuring playground equipment and basketball courts, known as a popular spot for local residents and children.","","","Osborn Playground","2c9WZJ2AOgs4huzPF5vA","-73.905946","40.655738","","","",""
"pops-laurence-tower","pops","","200 East 33 Street","https://apops.mas.org/pops/M060015","A modern and vibrant public space located in the heart of Midtown Manhattan, offering stunning views of nearby landmarks and providing a respite for both locals and tourists alike.","","","Laurence Tower","2cxPn6JR0baROzbrGjKi","-73.97848","40.744616","","","",""
"park-kaltenmeier-playground","park","","","http://www.nycgovparks.org/parks/R042/","A vibrant playground with a splash pad located in the Upper East Side neighborhood of New York City.","","","Kaltenmeier Playground","2eNH0CvA1a0Z45Zf023r","-74.0688","40.614829","","","",""
"park-bobbie-lewis-jr-playground","park","","","http://www.nycgovparks.org/parks/R036/","A lively playground located in Central Harlem with modern play structures and green spaces for families to enjoy within the bustling city landscape.","","","Bobbie Lewis Jr. Playground","2esoBVjXV1bZsh0OVg0s","-74.160471","40.636564","","","",""
"park-marx-brothers-playground","park","","1860 2 Avenue","http://www.nycgovparks.org/parks/M187/","A lively playground in the Upper East Side neighborhood of New York City, providing a playful atmosphere for children and families.","","","Marx Brothers Playground","2gGg0rygnM3KA7eI7Rve","-73.946169","40.784335","","","",""
"park-poor-richards-playground","park","","2095 2 Avenue","http://www.nycgovparks.org/parks/M230/","A popular community playground located in the Upper East Side area of New York City, providing a vibrant and interactive space for children and families to enjoy outdoor recreation and play.","","","Poor Richard's Playground","2j5UnZtfkz4oeiJM6O9c","-73.942843","40.792665","","","",""
"park-brant-point-wildlife-sanctuary","park","","","http://www.nycgovparks.org/parks/Q464/","A serene wildlife sanctuary nestled in a vibrant urban setting, offering nature trails and opportunities to observe a diverse range of wildlife.","","","Brant Point Wildlife Sanctuary","2koCg152MMLORMuDxN7Z","-73.80319","40.598452","","","",""
"park-family-community-garden","park","","156 East 111 Street","http://www.nycgovparks.org/parks/M330/","A vibrant community garden nestled in the heart of New York City, providing a peaceful oasis for families to connect with nature and each other.","","","Family Community Garden","2nek9vF4PH2ucdwCXjzE","-73.943782","40.79512","","","",""
"park-el-sol-brilliante-jr","park","","537 East 12 Street","http://www.nycgovparks.org/parks/M339/","A vibrant community garden located in the East Village of NYC, featuring colorful murals, lush greenery, and a welcoming gathering space for local residents.","","","El Sol Brilliante Jr","2nquucqjNfneEhLMQRDM","-73.979534","40.728583","","","",""
"park-remsen-family-cemetery","park","","","http://www.nycgovparks.org/parks/Q480/","A small, historical family burial ground nestled in Flushing, Queens, dating back to the pre-colonial era. Despite being surrounded by urban development, it combines tranquility and rich history, housing tombstones of the Remsen family who were early European settlers in America.","","","Remsen Family Cemetery","2opOgj5nUO68l1kpWHId","-73.858479","40.712327","","","",""
"park-gouverneur-morris-triangle","park","","","http://www.nycgovparks.org/parks/X139/","A small park tucked away in the Upper East Side, providing a serene escape near the Guggenheim Museum.","","","Gouverneur Morris Triangle","2qWTsG72eu1IwqC1qVnb","-73.912755","40.804667","","","",""
